"Year","1. Chimacum Creek Summer Chum: Hatch-Origin Spawners (Prop.)","2. Chimacum Creek Summer Chum: Natural-Origin Spawners (Prop)","3. Dungeness Summer Chum: Natural-Origin Spawners (Prop)","4. Jimmycomelately Creek Summer Chum: Index Hatchery Escapement","5. Jimmycomelately Creek Summer Chum: Index Natural Escapement","6. Jimmycomelately Creek Summer Chum: Natural-Origin Spawners (Prop)","7. Snow/Salmon Creeks Summer Chum: Escapement (Proportion)","8. Snow/Salmon Creeks Summer Chum: Index Hatchery Escapement","9. Snow/Salmon Creeks Summer Chum: Index Hatchery Escapement","10. Snow/Salmon Creeks Summer Chum: Index Natural Escapement","11. Snow/Salmon Creeks Summer Chum: Index Natural Escapement"
"1971","","","","","","","249","","","",""
"1972","","","","","","","970","","","",""
"1973","","","","","","","636","","","",""
"1974","","","","","","438","","","","512","818"
"1975","","","","","","353","","","","755","340"
"1976","","","","","","365","","","","521","608"
"1977","","","","","","405","","","","701","538"
"1978","","","","","","787","","","","1,664","629"
"1979","","","","","","170","","","","458","133"
"1980","","","","","","1,326","","","","3,074","709"
"1981","","","","","","203","","","","439","242"
"1982","","","","","","599","","","","1,386","766"
"1983","","","","","","254","","","","731","154"
"1984","","","","","","367","","","","828","384"
"1985","","","","","","61","","","","151","20"
"1986","","","","","","292","","","","582","213"
"1987","","","","","","464","","","","1,062","465"
"1988","","","","","","1,052","","","","1,915","723"
"1989","","","","","","173","","","","194","21"
"1990","","","","","","63","","","","245","33"
"1991","","","","","","125","","","","172","12"
"1992","","","","","","616","","","","433","21"
"1993","","","","","","110","","","","452","11"
"1994","","","","","","15","","","","161","2"
"1995","","","","","","223","","","","591","25"
"1996","","","","","","30","","","","894","160"
"1997","","","","","","61","","66","","768","67"
"1998","","","","","","98","","529","","605","27"
"1999","38","0","","","7","","","366","15","133","15"
"2000","52","0","","","55","","","409","15","437","15"
"2001","903","0","10","9","251","","","1,470","100","1,168","54"
"2002","736","128","1","50","7","","","1,772","192","3,745","340"
"2003","331","227","0","378","68","","","1,868","101","3,785","203"
"2004","473","666","123","1,049","613","","","1,918","107","4,103","289"
"2005","519","877","2","818","492","","","2,285","59","3,857","773"
"2006","552","1,474","3","380","345","","","905","34","3,989","564"
"2007","43","883","2","186","468","","","38","9","1,236","430"
"2008","0","727","0","479","579","","","29","6","1,539","166"
"2009","0","1,020","1","2,426","202","","","20","9","1,217","220"
"2010","20","1,948","2","3,290","737","","","0","26","2,740","498"
"2011","0","640","3","1,597","814","","","11","4","2,268","338"
"2012","0","894","6","1,316","1,274","","","0","7","2,318","489"
"2013","0","3,066","0","2,685","5,656","","","0","0","2,746","574"
"2014","0","1,454","2","616","2,782","","","0","0","2,460","483"
"2015","0","1,311","4","0","6,532","","","0","0","6,846","971"